rank,player_name,opp,best,worst,avg,std dev,proj. pts,pos,pos_rank,tm,pos_map,tiers
21,Travis Kelce,vs. LV,17,51,21.9,7.2,17.2,FLEX,21,KC,TE,2
22,Derrick Henry,vs. BUF,7,61,25.0,9.8,17.2,FLEX,22,TEN,RB,3
23,Cooper Kupp,at WAS,12,32,26.0,3.9,16.6,FLEX,23,LAR,WR,2
24,Jonathan Taylor,at CLE,13,41,26.7,6.1,17.1,FLEX,24,IND,RB,2
25,James Conner,vs. PHI,16,42,26.8,7.4,17.2,FLEX,25,PIT,RB,2
26,Darren Waller,at KC,25,56,27.4,7.8,17.0,FLEX,26,LV,TE,2
27,D.J. Chark Jr.,at HOU,15,42,29.0,2.8,16.4,FLEX,27,JAX,WR,2
28,Robert Woods,at WAS,22,43,29.7,3.2,16.4,FLEX,28,LAR,WR,2
29,D.J. Moore,at ATL,26,49,30.5,4.7,16.4,FLEX,29,CAR,WR,2
30,Joe Mixon,at BAL,21,42,31.2,4.6,16.7,FLEX,30,CIN,RB,2
31,David Johnson,vs. JAC,16,42,31.4,8.0,15.8,FLEX,31,HOU,RB,2
32,Terry McLaurin,vs. LAR,21,47,32.3,3.5,16.0,FLEX,32,WAS,WR,2
33,Miles Sanders,at PIT,8,65,32.4,10.5,15.9,FLEX,33,PHI,RB,3
34,Robby Anderson,at ATL,27,40,32.7,3.5,16.1,FLEX,34,CAR,WR,2
35,Mike Evans,at CHI,30,66,33.2,4.5,15.7,FLEX,35,TB,WR,4
36,Will Fuller V,vs. JAC,27,55,33.9,3.6,15.9,FLEX,36,HOU,WR,4
37,Todd Gurley II,vs. CAR,9,45,34.6,8.7,15.8,FLEX,37,ATL,RB,2
38,Odell Beckham Jr.,vs. IND,28,52,37.3,4.0,15.7,FLEX,38,CLE,WR,4
39,JuJu Smith-Schuster,vs. PHI,30,55,42.1,6.9,15.5,FLEX,39,PIT,WR,4
40,Kenyan Drake,at NYJ,19,62,42.5,6.0,14.8,FLEX,40,ARI,RB,4
41,DeVante Parker,at SF,33,56,43.9,4.3,15.1,FLEX,41,MIA,WR,4
42,Tyler Boyd,at BAL,31,52,43.9,2.8,14.9,FLEX,42,CIN,WR,4
43,Ronald Jones II,at CHI,10,66,44.2,11.1,14.9,FLEX,43,TB,RB,3
44,Marquise Brown,vs. CIN,33,57,44.9,5.8,14.9,FLEX,44,BAL,WR,4
45,Devin Singletary,at TEN,23,61,45.1,7.1,14.7,FLEX,45,BUF,RB,4
46,Justin Jefferson,at SEA,33,76,45.6,4.4,14.7,FLEX,46,MIN,WR,4
47,CeeDee Lamb,vs. NYG,35,52,45.9,3.8,14.9,FLEX,47,DAL,WR,4
48,Mark Andrews,vs. CIN,20,63,48.3,8.7,14.7,FLEX,48,BAL,TE,4
49,Antonio Gibson,vs. LAR,35,60,48.3,8.5,14.6,FLEX,49,WAS,RB,4
50,Diontae Johnson,vs. PHI,35,58,49.0,4.2,14.6,FLEX,50,PIT,WR,4
51,Darius Slayton,at DAL,47,60,52.0,2.9,14.2,FLEX,51,NYG,WR,4
