,rank,player_name,opp,best,worst,avg,std dev,proj. pts,pos,pos_rank,tm,pos_map,tiers
17,18.0,Austin Ekeler,vs. KC,6.0,42.0,19.2,5.9,17.6,FLEX,18,LAC,RB,2
18,19.0,Amari Cooper,vs. ATL,7.0,36.0,19.4,6.4,15.4,FLEX,19,DAL,WR,2
19,20.0,Aaron Jones,vs. DET,8.0,34.0,20.0,4.3,16.7,FLEX,20,GB,RB,2
20,21.0,Josh Jacobs,vs. NO,7.0,42.0,22.0,6.3,15.9,FLEX,21,LV,RB,2
21,22.0,D.J. Moore,at TB,11.0,50.0,22.1,6.1,15.2,FLEX,22,CAR,WR,2
22,23.0,Joe Mixon,at CLE,8.0,68.0,24.9,6.4,15.1,FLEX,23,CIN,RB,3
23,24.0,Jonathan Taylor,vs. MIN,8.0,54.0,25.3,6.1,15.0,FLEX,24,IND,RB,3
24,25.0,Mark Andrews,at HOU,15.0,50.0,25.3,5.8,15.9,FLEX,25,BAL,TE,3
25,26.0,Mike Evans,vs. CAR,7.0,74.0,25.6,9.6,15.0,FLEX,26,TB,WR,3
26,27.0,Kenyan Drake,vs. WAS,6.0,81.0,25.7,9.5,15.2,FLEX,27,ARI,RB,3
27,28.0,Cooper Kupp,at PHI,13.0,58.0,28.5,7.7,15.0,FLEX,28,LAR,WR,3
28,29.0,D.J. Chark Jr.,at TEN,16.0,62.0,30.4,7.0,14.8,FLEX,29,JAX,WR,3
29,30.0,Terry McLaurin,at ARI,13.0,50.0,30.6,5.1,14.9,FLEX,30,WAS,WR,3
30,31.0,Nick Chubb,vs. CIN,21.0,55.0,32.7,6.1,14.8,FLEX,31,CLE,RB,3
31,32.0,Tyler Lockett,vs. NE,17.0,58.0,33.4,5.3,14.8,FLEX,32,SEA,WR,3
32,33.0,T.Y. Hilton,vs. MIN,14.0,55.0,33.9,7.0,14.7,FLEX,33,IND,WR,3
33,34.0,Marquise Brown,at HOU,7.0,61.0,36.8,7.5,14.5,FLEX,34,BAL,WR,3
34,35.0,Todd Gurley II,at DAL,20.0,113.0,37.4,7.5,14.7,FLEX,35,ATL,RB,3
35,36.0,Keenan Allen,vs. KC,14.0,77.0,38.5,8.7,14.5,FLEX,36,LAC,WR,3
36,37.0,Michael Gallup,vs. ATL,18.0,64.0,40.2,7.3,14.1,FLEX,37,DAL,WR,3
37,38.0,Chris Carson,vs. NE,15.0,91.0,40.2,9.1,14.0,FLEX,38,SEA,RB,3
38,39.0,Odell Beckham Jr.,vs. CIN,11.0,71.0,40.3,8.9,14.2,FLEX,39,CLE,WR,3
39,40.0,D.K. Metcalf,vs. NE,11.0,63.0,40.3,7.4,14.1,FLEX,40,SEA,WR,3
40,41.0,Will Fuller V,vs. BAL,11.0,74.0,42.6,8.2,14.0,FLEX,41,HOU,WR,3
41,42.0,Raheem Mostert,at NYJ,10.0,99.0,43.3,9.6,13.9,FLEX,42,SF,RB,3
42,43.0,Stefon Diggs,at MIA,12.0,75.0,43.3,7.9,13.8,FLEX,43,BUF,WR,3
43,44.0,David Johnson,vs. BAL,7.0,84.0,47.4,12.2,13.2,FLEX,44,HOU,RB,3
44,45.0,Kareem Hunt,vs. CIN,12.0,81.0,47.4,11.0,13.7,FLEX,45,CLE,RB,3
45,46.0,A.J. Green,at CLE,23.0,68.0,49.3,7.7,13.7,FLEX,46,CIN,WR,4
46,47.0,Emmanuel Sanders,at LV,23.0,84.0,49.3,9.7,13.7,FLEX,47,NO,WR,4
47,48.0,Marvin Jones Jr.,at GB,24.0,91.0,50.2,9.3,13.7,FLEX,48,DET,WR,4
48,49.0,Miles Sanders,vs. LAR,17.0,148.0,52.3,29.8,13.1,FLEX,49,PHI,RB,5
49,50.0,Julian Edelman,at SEA,16.0,103.0,52.4,10.5,13.6,FLEX,50,NE,WR,4
50,51.0,Zach Ertz,vs. LAR,28.0,97.0,52.6,10.0,15.9,FLEX,51,PHI,TE,4
51,52.0,Darren Waller,vs. NO,28.0,95.0,54.0,9.3,14.3,FLEX,52,LV,TE,4
52,53.0,Diontae Johnson,vs. DEN,24.0,78.0,54.6,6.9,13.4,FLEX,53,PIT,WR,4
53,54.0,Ronald Jones II,vs. CAR,21.0,126.0,54.7,16.1,13.1,FLEX,54,TB,RB,5
