rank,pos_tiers,player_name,tm,pos_rank,pos,bye,best,worst,avg,std dev,adp,adp_vor_delta,py_avg_ppg,py_std_dev,custom_points,vor
239,,Marvin Jones Jr.,DET,WR93,WR,9,159,350,239.23,29.39,,,7.30625,4.915481495574298,106.67000000000002,0.543228522485718
240,,Michael Carter,NYJ,RB63,RB,7,149,367,240.71,49.85,,,7.749999999999999,5.241119473293213,47.82000000000001,0.5230217171267023
241,,Mack Hollins,ATL,WR94,WR,11,136,308,232.40,29.52,,,9.068235294117647,7.214839079368054,110.17999999999999,0.5496568505953987
242,,Luke Musgrave,GB,TE29,TE,6,138,376,226.71,55.24,,,,,92.2,0.5380944066830193
243,,Tampa Bay Buccaneers,TB,DST16,DST,5,165,325,234.78,32.49,,,,,,
244,,Green Bay Packers,GB,DST17,DST,6,180,307,245.16,25.84,,,,,,
245,,Michael Mayer,LV,TE30,TE,13,142,348,249.42,39.31,,,,,90.56,0.5350908573668152
246,,Leonard Fournette,FA,RB64,RB,,128,364,228.93,52.19,,,,,,
247,,Los Angeles Chargers,LAC,DST18,DST,5,192,343,242.45,24.35,,,,,,
248,,Khalil Shakir,BUF,WR95,WR,13,144,346,241.24,38.89,,,,,71.94,0.47962287141756543
249,,Sterling Shepard,NYG,WR96,WR,13,109,385,244.74,42.81,,,,,76.94,0.4887800339669683
250,,Chase Edmonds,TB,RB65,RB,5,128,360,248.70,43.08,,,5.707692307692308,4.775887620547888,78.1,0.5784774935258862
251,,Kareem Hunt,FA,RB66,RB,,96,336,236.08,46.95,,,,,,
252,4.0,Graham Gano,NYG,K11,K,13,211,318,249.59,21.36,,,,,,
253,4.0,Greg Joseph,MIN,K12,K,13,204,302,251.64,19.72,,,,,,
254,,Kyren Williams,LAR,RB67,RB,10,138,359,259.20,45.96,,,,,80.69000000000001,0.583220903726477
255,,Josh Reynolds,DET,WR97,WR,9,175,369,243.90,31.23,,,7.421428571428572,7.124408593153386,84.63,0.5028637499679499
256,,Matt Gay,IND,K13,K,11,191,308,247.27,24.25,,,,,,
257,,Cade Otton,TB,TE31,TE,5,153,349,259.98,37.72,,,5.8187500000000005,5.161294249830496,104.42000000000002,0.56047451195376
258,,Greg Zuerlein,NYJ,K14,K,7,212,339,254.33,25.31,,,,,,
259,,Chase Brown,CIN,RB68,RB,7,141,348,252.03,44.00,,,,,72.77000000000001,0.5687159582482226
260,,Ty Chandler,MIN,RB69,RB,13,132,384,241.86,54.92,,,,,73.75,0.5705107621079056
261,,Jacksonville Jaguars,JAX,DST19,DST,9,170,355,258.83,30.43,,,,,,
262,,Kendrick Bourne,NE,WR98,WR,11,185,364,247.80,28.56,,,5.39375,6.0088233734511896,89.13999999999999,0.5111235105875114
263,,Tyler Conklin,NYJ,TE32,TE,7,152,356,246.07,51.21,,,7.617647058823531,6.486836217883649,103.36000000000001,0.5585331934932867
264,,Jelani Woods,IND,TE33,TE,11,153,341,267.86,33.00,,,4.880000000000001,5.4811625461340645,92.04000000000002,0.5378013774814384
265,,Baker Mayfield,TB,QB32,QB,5,178,343,273.19,35.10,,,11.701666666666668,5.494264502573791,227.79799999999997,0.41719666288577595
266,,Wil Lutz,NO,K15,K,11,221,352,263.34,20.02,,,,,,
267,,Taysom Hill,NO,TE34,TE,11,142,360,268.29,42.88,202.0,-181.0,,,42.65,0.44734692581843666
268,,Indianapolis Colts,IND,DST20,DST,11,158,323,264.86,29.46,,,,,,
269,,Nick Folk,NE,K16,K,11,209,302,243.76,24.73,,,,,,
270,,Isaiah Likely,BAL,TE35,TE,13,179,349,274.78,31.00,,,5.70625,6.1762414406606005,64.91,0.48811461348837837
271,,Michael Wilson,ARI,WR99,WR,14,122,340,213.79,46.51,,,,,83.24999999999999,0.5003363731043148
272,,Puka Nacua,LAR,WR100,WR,10,144,368,235.76,42.97,,,,,68.80999999999999,0.4738904876616392
273,,Deuce Vaughn,DAL,RB70,RB,7,120,380,266.30,53.75,168.0,-54.5,,,54.629999999999995,0.5354937725189889
273,,Deuce Vaughn,DAL,RB70,RB,7,120,380,266.30,53.75,198.0,-27.5,,,54.629999999999995,0.5354937725189889
274,,Pierre Strong Jr.,NE,RB71,RB,11,189,383,274.67,40.49,,,,,35.17,0.4998540958767129
275,,Zach Evans,LAR,RB72,RB,10,184,388,278.29,36.76,,,,,49.709999999999994,0.5264831245703765
276,,Isaiah McKenzie,IND,WR101,WR,11,209,351,262.93,34.32,,,7.986666666666667,6.564174049519175,65.87,0.4685060760825903
277,,Carolina Panthers,CAR,DST21,DST,7,192,345,282.43,29.29,,,,,,
278,,Chris Boswell,PIT,K17,K,6,184,339,281.33,23.01,,,,,,
279,,Logan Thomas,WAS,TE36,TE,14,179,368,277.23,33.70,,,,,95.51000000000002,0.5441564482907241
280,,Cedric Tillman,CLE,WR102,WR,5,174,340,258.38,31.17,,,,,48.75,0.43715195151343483
281,,Seattle Seahawks,SEA,DST22,DST,5,171,355,283.86,40.47,,,,,,
282,,Quez Watkins,PHI,WR103,WR,10,212,376,270.44,24.73,,,4.911764705882354,4.825438108729244,59.07,0.4560523350154024
283,,Laviska Shenault Jr.,CAR,WR104,WR,7,206,352,270.33,27.31,,,5.592307692307693,5.431767904108437,63.69,0.46451355321105064
284,,Jake Moody,SF,K18,K,9,204,339,260.88,31.75,,,,,,
285,,Isaiah Spiller,LAC,RB73,RB,5,189,382,283.18,37.68,,,,,50.69000000000001,0.5282779284300595
286,,Justyn Ross,KC,WR105,WR,10,151,379,246.23,50.85,180.0,-283.0,,,31.38,0.40533996881680917
287,,Matt Prater,ARI,K19,K,14,221,342,270.14,25.71,,,,,,
288,,Riley Patterson,DET,K20,K,9,215,339,281.03,25.31,,,,,,
289,,Evan Hull,IND,RB74,RB,11,168,375,282.96,48.12,,,,,36.760000000000005,0.502766073567423
290,,Los Angeles Rams,LAR,DST23,DST,10,187,355,280.70,35.52,,,,,,
291,,Keaontay Ingram,ARI,RB75,RB,14,172,369,277.65,46.25,,,,,65.67999999999999,0.5557311017531693
292,,Braxton Berrios,MIA,WR106,WR,10,203,345,268.34,26.95,,,3.451764705882353,3.521299893672288,66.86,0.4703191942673721
293,,Latavius Murray,BUF,RB76,RB,13,181,385,289.83,39.88,,,11.630769230769232,4.818780034992366,55.550000000000004,0.5371786904280791
294,,New York Giants,NYG,DST24,DST,13,190,355,295.13,28.60,,,,,,
295,,Russell Gage,TB,WR107,WR,5,136,343,228.02,38.30,,,9.276923076923078,7.474640888380953,122.09,0.5714692117880764
296,,Tennessee Titans,TEN,DST25,DST,7,187,352,298.95,32.70,,,,,,
297,,Dustin Hopkins,LAC,K21,K,5,220,332,282.49,25.40,,,,,,
298,,Nick Westbrook-Ikhine,TEN,WR108,WR,7,214,365,280.88,30.67,,,4.864705882352942,7.272803893312966,82.02000000000001,0.4980837111171617
299,,Matt Breida,NYG,RB77,RB,13,192,378,298.36,32.09,,,3.51764705882353,3.1990692580260056,57.09,0.5399990964932952
300,,Israel Abanikanda,NYJ,RB78,RB,7,224,369,296.90,28.35,,,,,43.27,0.5146886992067455
301,,Cairo Santos,CHI,K22,K,13,191,353,299.98,27.48,,,,,,
302,,Jordan Mason,SF,RB79,RB,9,217,380,294.27,28.67,,,1.9875000000000003,2.645215807201119,35.1,0.49972589560102126
303,,Zack Moss,IND,RB80,RB,11,214,368,296.89,34.57,201.0,-29.0,4.884615384615385,5.838642272801408,51.31,0.5294134165861855
304,,Chris Evans,CIN,RB81,RB,7,181,386,300.57,50.91,,,,,37.24999999999999,0.5036634754972644
305,,Detroit Lions,DET,DST26,DST,9,180,354,302.55,32.40,,,,,,
306,,Devin Duvernay,BAL,WR109,WR,13,215,396,290.60,39.80,,,7.792857142857143,6.115234983310037,27.289999999999996,0.3978494098513976
307,,Sean Tucker,TB,RB82,RB,5,171,392,298.43,48.67,,,,,48.620000000000005,0.5244868631346067
308,,Greg Dortch,ARI,WR110,WR,14,134,361,255.06,43.17,,,7.00625,7.979429282014264,87.52999999999999,0.5081749042466036
309,,JaMycal Hasty,JAX,RB83,RB,9,183,383,301.23,33.38,,,4.117647058823529,6.309341813346862,48.629999999999995,0.5245051774597055
