rank,pos_tiers,player_name,tm,pos_rank,pos,bye,best,worst,avg,std dev,adp,adp_vor_delta,py_avg_ppg,py_std_dev,custom_points,vor
130,8.0,Golden Tate,NYG,WR49,WR,11.0,73.0,258.0,137.9,27.3,155.0,28.0,11.609090909090908,5.979540876263753,140.01000000000002,0.547817082815113
131,,Joe Burrow,CIN,QB20,QB,9.0,24.0,313.0,131.2,29.1,141.0,-60.0,,,227.851434119,0.46546431517817727
132,8.0,Jerry Jeudy,DEN,WR50,WR,8.0,50.0,268.0,136.7,31.1,119.0,-22.0,,,123.79999999999998,0.5147026256767934
133,8.0,Mike Williams,LAC,WR51,WR,10.0,55.0,228.0,141.5,30.9,,,9.120000000000001,3.490026606529772,124.83,0.5168067521945275
134,7.0,Duke Johnson,HOU,RB46,RB,8.0,73.0,253.0,130.6,35.9,151.0,41.0,8.25,5.175197258720354,116.36000000000001,0.5675305011608739
135,,Blake Jarwin,DAL,TE18,TE,10.0,52.0,288.0,137.8,30.2,,,4.375,3.5375132508585745,101.35000000000001,0.5413004191339754
136,7.0,Alexander Mattison,MIN,RB47,RB,7.0,77.0,245.0,130.4,32.2,99.0,-37.0,4.8769230769230765,3.461009931160231,91.61000000000001,0.5169701794968758
137,,Chris Herndon IV,NYJ,TE19,TE,11.0,73.0,330.0,145.9,36.9,142.0,28.0,,,109.47999999999999,0.557908718735119
138,7.0,Boston Scott,PHI,RB48,RB,9.0,68.0,239.0,134.0,32.5,125.0,-7.0,7.718181818181819,10.681649515109374,99.54,0.5331699108421487
139,,Gardner Minshew II,JAX,QB21,QB,7.0,51.0,241.0,143.1,27.4,,,14.775510537857144,6.143888090607195,246.73429119999997,0.5040389950953756
140,7.0,Darrell Henderson,LAR,RB49,RB,9.0,58.0,274.0,138.9,39.2,147.0,5.0,,,94.32000000000001,0.5225062793639237
141,8.0,Mecole Hardman,KC,WR52,WR,10.0,69.0,284.0,146.2,34.2,109.0,-73.0,6.28125,6.138210244036938,107.49000000000001,0.48138388441053864
142,7.0,Tony Pollard,DAL,RB50,RB,10.0,84.0,245.0,144.1,35.3,126.0,-5.0,5.3133333333333335,7.26811693697369,100.77,0.5356826056157534
143,7.0,Chase Edmonds,ARI,RB51,RB,8.0,84.0,257.0,148.0,37.2,108.0,-55.0,5.907692307692309,9.939522250294658,81.44,0.4961944836858512
144,8.0,DeSean Jackson,PHI,WR53,WR,9.0,39.0,329.0,147.0,42.5,122.0,3.0,10.799999999999999,17.847128620593285,140.07999999999998,0.5479600817046677
145,,Jack Doyle,IND,TE20,TE,7.0,65.0,334.0,147.4,32.6,,,5.64375,4.439514800816263,104.86,0.5484707920245061
146,1.0,San Francisco (SF),SF,DST1,DST,11.0,31.0,231.0,138.1,22.7,,,,,,
147,,Kirk Cousins,MIN,QB22,QB,7.0,70.0,251.0,151.7,26.6,,,15.149524152666666,7.600870555749536,233.505719799,0.47701512337053836
148,2.0,Pittsburgh (PIT),PIT,DST2,DST,8.0,32.0,195.0,139.5,20.9,,,,,,
149,,Jimmy Garoppolo,SF,QB23,QB,11.0,77.0,241.0,155.7,23.5,,,14.05357178375,8.545213165287336,234.78000555399996,0.4796182869125444
150,2.0,Baltimore (BAL),BAL,DST3,DST,8.0,34.0,207.0,143.6,20.4,,,,,,
151,,Eric Ebron,PIT,TE21,TE,8.0,54.0,336.0,153.0,30.8,,,6.454545454545456,4.341281754588992,98.8,0.5360911738716241
152,8.0,Allen Lazard,GB,WR54,WR,5.0,68.0,229.0,156.7,28.5,145.0,-2.0,5.33125,5.763299836031438,123.63999999999999,0.5143757710720969
153,8.0,Jalen Reagor,PHI,WR55,WR,9.0,72.0,279.0,157.6,33.2,153.0,-26.0,,,112.43999999999998,0.49149594874333813
154,,N'Keal Harry,NE,WR56,WR,6.0,73.0,296.0,165.5,35.9,,,4.771428571428572,3.5882745555091353,117.52,0.5018735824424537
155,1.0,Buffalo (BUF),BUF,DST4,DST,11.0,44.0,252.0,153.3,23.1,,,,,,
156,,Justin Jefferson,MIN,WR57,WR,7.0,85.0,293.0,159.5,34.0,149.0,-15.0,,,116.86999999999999,0.5005457356108739
157,,Breshad Perriman,NYJ,WR58,WR,11.0,90.0,255.0,158.8,33.0,,,8.578571428571427,9.604740702176398,129.68,0.5267145323993918
158,8.0,Nyheim Hines,IND,RB52,RB,7.0,82.0,296.0,154.8,37.7,,,5.2437499999999995,3.0962275433178355,88.03,0.5096568077167904
159,,Philip Rivers,IND,QB24,QB,7.0,97.0,275.0,164.2,31.1,,,12.734821840625,6.5750817671093635,216.204291384,0.44167105121259753
160,,Teddy Bridgewater,CAR,QB25,QB,13.0,52.0,284.0,168.8,33.8,,,9.293651013333331,9.936977866294955,218.557148485,0.44647756482294026
161,,Robby Anderson,CAR,WR59,WR,13.0,79.0,270.0,159.0,28.6,,,8.393749999999999,6.686849656851375,122.2,0.5114340796298279
162,,Drew Lock,DEN,QB26,QB,8.0,95.0,254.0,163.8,28.5,,,12.66857172,6.880988358191825,220.588576784,0.45062745040818425
163,,Curtis Samuel,CAR,WR60,WR,13.0,106.0,240.0,161.3,27.1,,,9.043750000000001,5.590822092203138,117.96999999999998,0.5027928610181628
164,,Brandon Aiyuk,SF,WR61,WR,11.0,85.0,258.0,164.0,30.9,,,,,108.97999999999999,0.48442771791677525
165,8.0,Damien Harris,NE,RB53,RB,6.0,75.0,334.0,159.7,48.6,112.0,-49.0,,,82.42000000000002,0.4981964681396176
166,1.0,New England (NE),NE,DST5,DST,6.0,66.0,252.0,156.6,22.6,,,,,,
167,1.0,Harrison Butker,KC,K1,K,10.0,37.0,235.0,163.8,22.2,,,,,,
168,1.0,New Orleans (NO),NO,DST6,DST,6.0,33.0,250.0,168.6,25.9,,,,,,
169,1.0,Justin Tucker,BAL,K2,K,8.0,35.0,230.0,165.1,21.7,,,,,,
170,3.0,Chicago (CHI),CHI,DST7,DST,11.0,45.0,293.0,166.1,27.8,,,,,,
171,,Sammy Watkins,KC,WR62,WR,10.0,114.0,294.0,168.5,27.2,143.0,4.5,7.8928571428571415,10.394559544870969,128.96,0.5252436866782573
172,1.0,Wil Lutz,NO,K3,K,6.0,40.0,236.0,173.4,22.3,,,,,,
173,,Irv Smith Jr.,MIN,TE22,TE,7.0,108.0,351.0,177.9,35.5,,,3.81875,3.2371219212957265,77.67,0.49292593763888565
174,,Parris Campbell,IND,WR63,WR,7.0,84.0,349.0,174.7,34.1,,,,,86.78999999999998,0.4390970699279221
175,4.0,Kansas City (KC),KC,DST8,DST,10.0,73.0,293.0,175.3,26.8,,,,,,
176,,Ian Thomas,CAR,TE23,TE,13.0,98.0,350.0,178.8,41.0,,,,,99.66,0.537848017371868
177,,Derek Carr,LV,QB27,QB,6.0,89.0,279.0,181.3,39.9,,,13.68928607625,5.491991754646342,228.421434231,0.466628734936207
178,8.0,Joshua Kelley,LAC,RB54,RB,10.0,82.0,295.0,173.8,43.6,,,,,72.88,0.47870776233458556
179,2.0,Greg Zuerlein,DAL,K4,K,10.0,86.0,251.0,180.4,22.7,,,,,,
180,,Sam Darnold,NYJ,QB28,QB,11.0,115.0,279.0,188.7,34.2,,,12.892308024615385,8.921611873299629,212.232862387,0.4335580521195047
181,3.0,Los Angeles (LAR),LAR,DST9,DST,9.0,48.0,289.0,180.9,32.2,,,,,,
182,,Michael Pittman Jr.,IND,WR64,WR,7.0,63.0,249.0,175.1,28.2,,,,,113.60000000000002,0.49386564462738824
183,5.0,Minnesota (MIN),MIN,DST10,DST,7.0,53.0,252.0,181.6,29.4,,,,,,
184,8.0,Justin Jackson,LAC,RB55,RB,10.0,98.0,300.0,179.1,43.3,,,,,68.85999999999999,0.4704955403915847
185,,A.J. Dillon,GB,RB56,RB,5.0,60.0,327.0,180.7,46.6,144.0,-48.5,,,71.37,0.4756230720027619
186,2.0,Robbie Gould,SF,K5,K,11.0,98.0,270.0,193.7,23.2,,,,,,
187,,Carlos Hyde,SEA,RB57,RB,6.0,104.0,313.0,190.2,41.7,,,9.2625,4.547655073405047,56.36000000000001,0.4449600243996666
188,,Denver (DEN),DEN,DST11,DST,8.0,61.0,307.0,196.2,33.3,,,,,,
189,,Philadelphia (PHI),PHI,DST12,DST,9.0,97.0,400.0,198.5,32.8,,,,,,
190,,Los Angeles (LAC),LAC,DST13,DST,10.0,56.0,347.0,191.4,37.8,,,,,,
191,,Hunter Renfrow,LV,WR65,WR,6.0,86.0,269.0,188.7,28.8,,,8.384615384615385,6.831525714636782,116.45,0.49968774227354557
192,,Larry Fitzgerald,ARI,WR66,WR,8.0,108.0,252.0,186.9,27.8,,,8.743750000000002,4.915006781955308,102.28,0.4707406813451071
193,,Laviska Shenault Jr.,JAX,WR67,WR,7.0,96.0,351.0,191.3,40.7,,,,,90.44,0.4465534405975622
194,,Bryce Love,WAS,RB58,RB,8.0,72.0,322.0,186.0,55.8,137.0,-67.0,,,64.89,0.4623854605125515
195,,Greg Olsen,SEA,TE24,TE,6.0,108.0,355.0,192.5,38.7,,,6.9785714285714295,6.100085569567362,88.78999999999999,0.515642332665296
196,,Tennessee (TEN),TEN,DST14,DST,7.0,67.0,323.0,206.6,32.3,,,,,,
197,3.0,Matt Prater,DET,K6,K,5.0,100.0,319.0,205.1,27.0,,,,,,
198,,O.J. Howard,TB,TE25,TE,13.0,115.0,357.0,201.8,41.8,,,4.778571428571429,3.9851992656344284,74.87,0.48720598205669596
199,,Tyrod Taylor,LAC,QB29,QB,10.0,73.0,369.0,211.3,51.5,,,,,187.60857551599997,0.3832545424247845
200,,Darrynton Evans,TEN,RB59,RB,7.0,104.0,304.0,183.2,40.6,,,,,85.75,0.5049991295998646
201,,James Washington,PIT,WR68,WR,8.0,102.0,292.0,194.6,31.7,,,7.433333333333334,6.00745568519018,85.61000000000001,0.43668651721828505
202,3.0,Zane Gonzalez,ARI,K7,K,8.0,94.0,311.0,211.7,31.7,,,,,,
