rk,player_name,pos,age,date,lg,tm,home/away,opp,result,g#,week,day,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,receiving_y/tgt
714,Michael Ojemudia,DB,23.008,2020-09-20,NFL,DEN,Away,PIT,L 21-26,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
715,Bobby Okereke,LB,24.053,2020-09-20,NFL,IND,Home,MIN,W 28-11,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
716,Ogbonnia Okoronkwo,OLB,25.149,2020-09-20,NFL,LAR,Away,PHI,W 37-19,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
717,Jeff Okudah,CB,21.231,2020-09-20,NFL,DET,Away,GNB,L 21-42,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
718,Romeo Okwara,DE,25.095,2020-09-20,NFL,DET,Away,GNB,L 21-42,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
719,Ed Oliver,DT,22.283,2020-09-20,NFL,BUF,Away,MIA,W 31-28,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
720,Isaiah Oliver,CB,23.356,2020-09-20,NFL,ATL,Away,DAL,L 39-40,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
721,Greg Olsen,TE,35.193,2020-09-20,NFL,SEA,Home,NWE,W 35-30,2,2,Sun,0.0,0.0,,0.0,1.0,0.0,0.0,,0.0,0.0
722,Foyesade Oluokun,LB,25.049,2020-09-20,NFL,ATL,Away,DAL,L 39-40,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
723,Charles Omenihu,DE,23.031,2020-09-20,NFL,HOU,Home,BAL,L 16-33,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
724,David Onyemata,DT,27.313,2020-09-21,NFL,NOR,Away,LVR,L 24-34,2,2,Mon,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
725,Amani Oruwariye,CB,24.224,2020-09-20,NFL,DET,Away,GNB,L 21-42,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
726,K.J. Osborn,WR,23.102,2020-09-20,NFL,MIN,Away,IND,L 11-28,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
727,DeVante Parker,WR,27.244,2020-09-20,NFL,MIA,Home,BUF,L 28-31,2,2,Sun,0.0,0.0,,0.0,8.0,5.0,53.0,10.6,1.0,6.63
728,Cody Parkey,K,28.211,2020-09-17,NFL,CLE,Home,CIN,W 35-30,2,2,Thu,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
729,Zach Pascal,WR,25.277,2020-09-20,NFL,IND,Home,MIN,W 28-11,2,2,Sun,0.0,0.0,,0.0,4.0,3.0,19.0,6.33,1.0,4.75
730,Tim Patrick,WR,26.302,2020-09-20,NFL,DEN,Away,PIT,L 21-26,2,2,Sun,0.0,0.0,,0.0,5.0,2.0,24.0,12.0,0.0,4.8
731,Da'Ron Payne,DT,23.116,2020-09-20,NFL,WAS,Away,ARI,L 15-30,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
732,Elijhaa Penny,FB,27.034,2020-09-20,NFL,NYG,Away,CHI,L 13-17,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
733,Jabrill Peppers,S,24.352,2020-09-20,NFL,NYG,Away,CHI,L 13-17,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
734,Breshad Perriman,WR,27.01,2020-09-20,NFL,NYJ,Home,SFO,L 13-31,2,2,Sun,0.0,0.0,,0.0,2.0,2.0,12.0,6.0,0.0,6.0
735,Jamal Perry,CB,25.333,2020-09-20,NFL,MIA,Home,BUF,L 28-31,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
736,Denzel Perryman,LB,27.29,2020-09-20,NFL,LAC,Home,KAN,L 20-23,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
737,Corey Peters,DL,32.104,2020-09-20,NFL,ARI,Home,WAS,W 30-15,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
738,Marcus Peters,CB,27.255,2020-09-20,NFL,BAL,Away,HOU,W 33-16,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
739,Kevin Peterson,CB,26.182,2020-09-20,NFL,ARI,Home,WAS,W 30-15,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
740,Patrick Peterson,CB,30.071,2020-09-20,NFL,ARI,Home,WAS,W 30-15,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
741,Dante Pettis,WR,24.333,2020-09-20,NFL,SFO,Away,NYJ,W 31-13,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
742,Adrian Phillips,DB,28.176,2020-09-20,NFL,NWE,Away,SEA,L 30-35,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
743,Darius Phillips,CB,25.083,2020-09-17,NFL,CIN,Away,CLE,L 30-35,2,2,Thu,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
744,Harrison Phillips,DT,24.239,2020-09-20,NFL,BUF,Away,MIA,W 31-28,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
745,Jordan Phillips,DL,27.365,2020-09-20,NFL,ARI,Home,WAS,W 30-15,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
746,Kyle Phillips,DL,24.336,2020-09-20,NFL,NYJ,Home,SFO,L 13-31,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
747,Kevin Pierre-Louis,LB,28.349,2020-09-20,NFL,WAS,Away,ARI,L 15-30,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
748,Jason Pierre-Paul,DE,31.263,2020-09-20,NFL,TAM,Home,CAR,W 31-17,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
